symbol,vol_abs,correlation_btc,cluster,distance_to_centroid
TRUMP/USDT,0.007573787346876123,0.6774799425373873,0,0.7339866363093459
ALGO/USDT,0.007862974484104694,0.7628869985497166,0,0.8266656740679423
QNT/USDT,0.00915617129773452,0.6179891123103732,0,0.30095244377707675
FIL/USDT,0.009098727756223515,0.769492216049159,0,0.6173824675136547
APT/USDT,0.009502066756519201,0.7320331979698548,0,0.4034308305246559
RENDER/USDT,0.010904612152218291,0.7342896845657378,0,0.47954774065808836
PUMP/USDT,0.012943810559017959,0.6804591214389434,0,0.9066708882810106
MORPHO/USDT,0.01049019550931189,0.6011535427485774,0,0.2974809503790704
VET/USDT,0.008478000877990437,0.800031609950438,0,0.8374532459926596
ARB/USDT,0.009614468925562947,0.7798029161071505,0,0.6172525410858165
XTZ/USDT,0.007841616813645735,0.6850249019273207,0,0.6615192019143081
SEI/USDT,0.007362041413067352,0.7920135826892867,0,1.0327984404668895
VIRTUAL/USDT,0.012551852742976658,0.7336441002350416,0,0.8690755927468549
CAKE/USDT,0.006895915369103551,0.8460164967354312,0,1.3127517328017468
JST/USDT,0.006808194959483306,0.4949210405773547,0,1.2247009972226337
DASH/USDT,0.012037816744434656,0.6270435285004782,0,0.6368167536691569
KITE/USDT,0.017326996511573142,0.18172897392254952,0,3.1793940988749854
STX/USDT,0.009587213461859773,0.739386330181746,0,0.4290645501627033
INJ/USDT,0.010300192772851364,0.6077956464305497,0,0.24223760223246413
IMX/USDT,0.010481702898671851,0.7618643829242834,0,0.5433683563372483
KAIA/USDT,0.010833730394493169,0.4718641601918904,0,0.9139577411938332
GNO/USDT,0.007434486179080798,0.7548801531337475,0,0.908908388999026
FET/USDT,0.009274868959259289,0.8023701107566807,0,0.7468357049078185
CHZ/USDT,0.009764475997487795,0.5913269597252327,0,0.30711313412892877
CRV/USDT,0.009030659916486444,0.7684003696661574,0,0.6217793185361856
ETHFI/USDT,0.010248298339352445,0.727725180904693,0,0.3662486494659247
GLM/USDT,0.008653130525544886,0.5881241458294715,0,0.5088811676375573
SFP/USDT,0.00777029044470415,0.7287656519291338,0,0.7575535826787739
FF/USDT,0.008362385337751917,0.3549117895090599,0,1.5198196823156396
COMP/USDT,0.009757367162085116,0.5191417777391778,0,0.6516732192759361
XPL/USDT,0.012751147234225234,0.6618378804305668,0,0.840161393880589
CVX/USDT,0.010722501827015883,0.6783427422470284,0,0.2555913683889152
WAL/USDT,0.009566874852946165,0.7630918710911481,0,0.5412458797994629
ZK/USDT,0.012610187037589319,0.4326378354885988,0,1.3301831929826298
GRT/USDT,0.008344094931343884,0.7800992394682472,0,0.7831307365572558
IOTA/USDT,0.00879958602909131,0.7172556010476132,0,0.4685722598191324
TIA/USDT,0.0100015924789893,0.7572952398377153,0,0.4992678199643594
PYTH/USDT,0.010247614469590213,0.6862570941520316,0,0.17741814173162368
SYRUP/USDT,0.010984651960411434,0.6519841648592024,0,0.3056474788556466
DEXE/USDT,0.010340507580780844,0.4826859098117469,0,0.8314987533536309
FLOKI/USDT,0.00911281895023678,0.8059365977943254,0,0.7782961566442118
JASMY/USDT,0.009539847260337929,0.7268360568965027,0,0.3759747610309959
ENS/USDT,0.00979809965360938,0.7784725449149584,0,0.6035699730304015
STRK/USDT,0.008897797624389695,0.7584539074389584,0,0.6003357528952771
OP/USDT,0.010503485490192968,0.7240364182458164,0,0.37486723862014326
2Z/USDT,0.01070483262251141,0.594970789379516,0,0.35906385100602345
LDO/USDT,0.008967151016953046,0.8163081683878912,0,0.8404704350955534
CFX/USDT,0.009142833581278454,0.7644448193159036,0,0.5896996454217873
LUNC/USDT,0.009396973115347257,0.5114297208725234,0,0.707332450252957
SAND/USDT,0.010872530409540528,0.6635693915887132,0,0.2757917584976759
TWT/USDT,0.009395346928056882,0.6323424369512352,0,0.2027088878236889
PENDLE/USDT,0.011015532693055977,0.7113338783123884,0,0.419844141499168
BARD/USDT,0.009830499038183343,0.2673380423965789,0,1.8622661659988682
AXS/USDT,0.017484353239856424,0.3356057002301416,0,2.7384572912878085
WIF/USDT,0.010131573933327134,0.7257361717648277,0,0.350396181231551
THETA/USDT,0.009789341542024047,0.7099919882849379,0,0.27689466781968297
